Restaurant/Bar Name,City/Area,Type,Values/Tags,Notes,Source URL
Pillar Forum,Minneapolis,Bar/Restaurant,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Isles Bun and Coffee,Minneapolis,Café/Bakery,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Laune Bread,Minneapolis,Bakery/Café,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Brake Bread,Minneapolis,Bakery/Café,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Bulls Horn,Minneapolis,Restaurant,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Sweet Street MN,Minneapolis,Café/Sweets,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Saturday Dumpling Co.,Minneapolis (NE),Restaurant,"Immigrant Owned, Anti-ICE Solidarity",Husband-and-wife owners Peter Bian and Linda Cao; children of Chinese immigrants; posted solidarity,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Herbst,Minneapolis,Restaurant,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Litt,Minneapolis,Restaurant/Bar,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Meteor,Minneapolis,Bar,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Reverie,Minneapolis,Restaurant,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Shepherd's Table,Minneapolis,Restaurant,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Game Time Sports Bar,Minneapolis,Bar,Anti-ICE Solidarity,Posted public solidarity statement Jan 2026,https://beyondbeurreblanc.substack.com/p/a-list-of-mn-restaurants-to-visit
Seward Community Café,Minneapolis (Seward),Restaurant,"Worker Cooperative, Union/Worker-Friendly",Oldest worker-run restaurant in the US (founded 1974); consensus-managed worker-owner cooperative,https://en.wikipedia.org/wiki/Seward_Community_Cafe
